file_name,snr,pesq_score,ber,encode_time,decode_time,msg
CycleGAN-arf_00295_01967306974-arf_05679_010210,22.40,3.69,0.00,4.60,0.03,[0 0 1 0 0 0 1 0 1 1 1 1 0 0 0 0]
CycleGAN-arf_00295_01967306974-clm_08421_012422,25.57,3.90,0.00,4.79,0.03,[0 1 1 1 0 1 0 0 1 1 1 0 1 1 1 0]
CycleGAN-arf_00295_01967306974-cof_06136_004519,27.66,4.24,0.00,4.64,0.03,[1 1 1 0 0 1 0 1 0 0 0 1 1 1 0 0]
CycleGAN-arf_00295_01967306974-com_09334_021251,24.47,4.13,0.00,4.72,0.03,[0 0 1 1 0 0 1 0 0 1 1 0 0 1 0 0]
CycleGAN-arf_00295_01967306974-pef_07049_011807,29.91,4.25,0.00,4.61,0.03,[1 0 0 0 1 0 0 0 1 1 1 1 1 0 1 0]
CycleGAN-arf_00295_02051061628-arf_05679_015664,25.10,3.75,0.00,0.09,0.01,[0 0 1 1 1 1 0 1 1 1 0 0 0 0 0 0]
CycleGAN-arf_00295_02051061628-cof_06136_015168,29.54,4.24,0.00,0.09,0.01,[1 0 1 0 1 1 0 1 1 0 1 0 0 1 1 1]
CycleGAN-arf_00295_02051061628-pef_07508_019688,31.47,4.26,0.00,0.08,0.01,[1 1 0 0 0 1 1 0 0 0 0 1 0 1 0 1]
CycleGAN-arf_00295_02051061628-pem_02436_001852,33.04,4.47,0.00,0.09,0.02,[1 0 0 0 1 1 1 1 1 1 0 0 1 0 1 1]
CycleGAN-arf_00295_02085157423-arf_03397_020009,31.87,4.26,0.00,0.11,0.01,[0 0 0 0 1 1 1 1 0 1 1 0 0 0 0 1]
CycleGAN-arf_00295_02085157423-arm_00610_016838,31.81,4.32,0.00,0.10,0.02,[0 1 1 0 0 1 1 0 1 0 1 0 0 1 0 0]
CycleGAN-arf_00295_02085157423-clm_02121_016304,30.76,4.13,0.00,0.10,0.02,[1 0 1 1 1 0 1 0 0 0 0 0 1 1 0 1]
CycleGAN-arf_00295_02085157423-com_04310_006147,29.25,4.10,0.00,0.10,0.02,[0 1 0 1 1 1 0 0 0 1 1 0 1 0 1 1]
CycleGAN-arf_00295_02085157423-pem_01208_011605,32.83,4.40,0.00,0.10,0.02,[0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0]
CycleGAN-arf_00295_02085157423-vef_03397_002977,30.79,4.31,0.00,0.10,0.02,[0 0 1 1 1 0 1 0 0 0 0 0 0 1 0 1]
