file_name,ber,ber_opus_12k
CycleGAN-arf_04310_01042568557-cof_00610_009153,0.00,0.00
CycleGAN-arf_04310_01042568557-vef_03397_001821,0.00,0.00
CycleGAN-arf_04310_01042568557-vef_05223_002653,0.00,0.00
CycleGAN-arf_04310_01042568557-vem_06136_015806,0.00,0.00
CycleGAN-arf_04310_01096266404-arm_01523_005617,0.00,6.25
CycleGAN-arf_04310_01096266404-arm_06136_014409,0.00,0.00
CycleGAN-arf_04310_01096266404-cof_02484_006300,0.00,100.00
CycleGAN-arf_04310_01096266404-vef_03397_020044,0.00,0.00
CycleGAN-arf_04310_01096266404-vem_04310_011176,0.00,100.00
CycleGAN-arf_04310_01366244244-arf_02121_011245,0.00,6.25
CycleGAN-arf_04310_01366244244-clm_04310_016113,0.00,100.00
CycleGAN-arf_04310_01366244244-clm_07049_005726,0.00,0.00
CycleGAN-arf_04310_01366244244-cof_00610_015226,0.00,0.00
CycleGAN-arf_04310_01366244244-cof_06136_017423,0.00,0.00
CycleGAN-arf_04310_01366244244-com_09334_003392,0.00,100.00
CycleGAN-arf_04310_01366244244-pem_02436_016634,0.00,0.00
CycleGAN-arf_04310_01366244244-pem_08784_007919,0.00,0.00
CycleGAN-arf_04310_01366244244-vef_09697_006923,0.00,0.00
CycleGAN-arf_04310_01366244244-vem_04310_016507,0.00,0.00
CycleGAN-arf_04310_01749565383-clf_03397_003636,0.00,100.00
CycleGAN-arf_04310_01749565383-cof_02484_008954,0.00,0.00
CycleGAN-arf_04310_01749565383-com_09334_015516,0.00,6.25
CycleGAN-arf_04310_01749565383-pem_02436_013014,0.00,100.00
CycleGAN-arf_04310_01749565383-pem_08784_005352,0.00,0.00
CycleGAN-arf_04310_01827366655-arm_00610_013752,0.00,6.25
CycleGAN-arf_04310_01827366655-clf_09697_016623,0.00,100.00
CycleGAN-arf_04310_01827366655-com_04310_009178,0.00,100.00
CycleGAN-arf_04310_01827366655-pef_07508_020440,0.00,6.25
CycleGAN-arf_04766_00232619497-arf_02436_016770,0.00,18.75
CycleGAN-arf_04766_00232619497-clm_02121_007454,0.00,0.00
CycleGAN-arf_04766_00232619497-pef_07049_011006,0.00,6.25
CycleGAN-arf_04766_00232619497-vef_05223_001175,0.00,0.00
CycleGAN-arf_04766_00514064948-cof_02484_009902,0.00,100.00
CycleGAN-arf_04766_00514064948-cof_06136_010652,0.00,6.25
CycleGAN-arf_04766_00514064948-com_00610_019312,0.00,100.00
CycleGAN-arf_04766_00514064948-com_09334_020403,0.00,100.00
CycleGAN-arf_04766_00514064948-pef_07049_019276,0.00,100.00
CycleGAN-arf_04766_00514064948-pem_08784_017662,0.00,0.00
CycleGAN-arf_04766_00514064948-vef_05223_002653,0.00,0.00
CycleGAN-arf_04766_00889749220-clf_07049_002640,0.00,0.00
CycleGAN-arf_04766_00889749220-clf_09697_010452,0.00,100.00
CycleGAN-arf_04766_00889749220-clm_07049_018040,0.00,0.00
CycleGAN-arf_04766_00889749220-com_02436_000190,0.00,0.00
CycleGAN-arf_04766_00889749220-pef_03397_011770,0.00,100.00
CycleGAN-arf_04766_00889749220-pem_01208_012975,0.00,100.00
CycleGAN-arf_04766_00889749220-pem_08784_000415,0.00,0.00
CycleGAN-arf_04766_00889749220-vef_05223_009097,0.00,0.00
CycleGAN-arf_04766_00889749220-vem_04310_015232,0.00,100.00
CycleGAN-arf_04766_00995352548-clf_03397_008563,0.00,0.00
CycleGAN-arf_04766_00995352548-com_02436_018849,0.00,12.50
CycleGAN-arf_04766_00995352548-pef_07049_011209,0.00,0.00
CycleGAN-arf_04766_00995352548-pef_07508_012014,0.00,6.25
CycleGAN-arf_04766_00995352548-vef_09697_008803,0.00,0.00
CycleGAN-arf_04766_01085934274-arm_00610_008290,0.00,0.00
CycleGAN-arf_04766_01085934274-clf_07049_019100,0.00,0.00
CycleGAN-arf_04766_01085934274-cof_08784_016509,0.00,0.00
CycleGAN-arf_04766_01085934274-com_09334_005884,0.00,0.00
CycleGAN-arf_04766_01085934274-vef_03397_005722,0.00,0.00
CycleGAN-arf_04766_01147071534-clf_09697_012717,0.00,12.50
CycleGAN-arf_04766_01147071534-clm_04310_001320,0.00,6.25
CycleGAN-arf_04766_01147071534-clm_08421_004952,0.00,0.00
CycleGAN-arf_04766_01147071534-com_02436_016939,0.00,6.25
CycleGAN-arf_04766_01147071534-pef_01208_006208,0.00,0.00
CycleGAN-arf_04766_01147071534-pem_04310_009232,0.00,6.25
CycleGAN-arf_04766_01147071534-vem_09697_010545,0.00,6.25
CycleGAN-arf_04766_01229186883-clf_09697_016393,0.00,0.00
CycleGAN-arf_04766_01229186883-cof_00610_012372,0.00,0.00
CycleGAN-arf_04766_01229186883-pem_08784_005562,0.00,6.25
CycleGAN-arf_04766_01317761330-arf_02121_010159,0.00,6.25
CycleGAN-arf_04766_01317761330-arm_00610_015644,0.00,0.00
CycleGAN-arf_04766_01317761330-clf_09697_009137,0.00,0.00
CycleGAN-arf_04766_01317761330-clm_07049_018720,0.00,6.25
CycleGAN-arf_04766_01317761330-com_02436_010041,0.00,0.00
CycleGAN-arf_04766_01317761330-vem_05223_021363,0.00,0.00
CycleGAN-arf_04766_01707850634-arf_02121_006604,0.00,0.00
CycleGAN-arf_04766_01707850634-arm_00610_016316,0.00,18.75
CycleGAN-arf_04766_01707850634-clf_07049_010089,0.00,0.00
CycleGAN-arf_04766_01707850634-cof_06136_005838,0.00,0.00
CycleGAN-arf_04766_01707850634-com_02436_018426,0.00,100.00
CycleGAN-arf_04766_01707850634-vef_02484_002238,0.00,0.00
CycleGAN-arf_04766_01707850634-vem_04310_004552,0.00,100.00
CycleGAN-arf_04766_01707850634-vem_06136_013549,0.00,6.25
CycleGAN-arf_04766_01739879973-arf_05679_015599,0.00,0.00
CycleGAN-arf_04766_01739879973-com_00610_017757,0.00,0.00
CycleGAN-arf_04766_01739879973-pef_03397_013993,0.00,0.00
CycleGAN-arf_04766_01739879973-vem_05223_007063,0.00,0.00
CycleGAN-arf_08421_00349485232-arf_03397_007259,0.00,0.00
CycleGAN-arf_08421_00349485232-pef_01208_006870,0.00,6.25
CycleGAN-arf_08421_00349485232-pem_01208_017639,0.00,0.00
